"Sponsor Name","Town/City","Additional Locations","Sponsor Type","Status","Route","Immigration Compliance"
"Middlesbrough College","Middlesbrough",,"Publicly funded college","Probationary Sponsor","Student",
"Middlesex University","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Mill Hill School Foundation","London",,"Independent school","Student Sponsor","Child Student",
"Mill Hill School Foundation","London",,"Independent school","Student Sponsor","Student",
"Millfield School","Street",,"Independent school","Student Sponsor","Child Student",
"Millfield School","Street",,"Independent school","Student Sponsor","Student",
"Milton Abbey School","Blandford Forum",,"Independent school","Student Sponsor","Child Student",
"Milton Abbey School","Blandford Forum",,"Independent school","Student Sponsor","Student",
"Monkton Combe School","Bath",,"Independent school","Student Sponsor","Child Student",
"Monkton Combe School","Bath",,"Independent school","Student Sponsor","Student",
"Mont Rose College of Management and Sciences","ilford",,"Private provider","Student Sponsor","Student",
"Moor Allerton Preparatory School Limited","Manchester",,"Independent school","Student Sponsor","Child Student",
"Moor Park Charitable Trust Ltd","Ludlow",,"Independent school","Student Sponsor","Child Student",
"Moorland School","Clitheroe",,"Independent school","Student Sponsor","Child Student",
"Moorland School","Clitheroe",,"Independent school","Student Sponsor","Student",
"More House School Ltd","London",,"Independent school","Student Sponsor","Child Student",
"Moreton Hall Education Limited","Oswestry",,"Independent school","Student Sponsor","Child Student",
"Moreton Hall Education Limited","Oswestry",,"Independent school","Student Sponsor","Student",
"Mount House School Ltd","London",,"Independent school","Student Sponsor","Child Student",
"Mount House School Ltd","London",,"Independent school","Student Sponsor","Student",
"Mount Kelly","Tavistock",,"Independent school","Student Sponsor","Child Student",
"Mount Kelly","Tavistock",,"Independent school","Student Sponsor","Student",
"Mount St. Mary's","Chesterfield",,"Independent school","Student Sponsor","Child Student",
"Mount St. Mary's","Chesterfield",,"Independent school","Student Sponsor","Student",
"Mountview Academy of Theatre Arts","London",,"Private provider","Student Sponsor - Track Record","Student",
"Moyles Court Ltd","Ringwood",,"Independent school","Student Sponsor","Child Student",
"Moyles Court Ltd","Ringwood",,"Independent school","Student Sponsor","Student",
"MUN (UK) LTD","Old Harlow",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Myddelton College","Denbigh",,"Independent school","Student Sponsor","Child Student",
"Myddelton College","Denbigh",,"Independent school","Student Sponsor","Student",
"Myerscough College","Preston",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Mylnhurst Preparatory School & Nursery","Sheffield",,"Independent school","Probationary Sponsor","Child Student",
"NACE Educational Services Limited","Melksham",,"Independent school","Student Sponsor","Child Student",
"NACE Educational Services Limited","Melksham",,"Independent school","Student Sponsor","Student",
"Nacel English School London","London",,"Private provider","Student Sponsor","Student",
"National Centre for Circus Arts","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"National Film and Television School","Beaconsfield",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Nazarene Theological College","Manchester",,"Private provider","Student Sponsor - Track Record","Student",
"NCG","Newcastle upon Tyne",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Neath Port Talbot College","Neath",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Nelson College London","Ilford",,"Private provider","Student Sponsor","Student",
"Nescot","Ewell",,"Publicly funded college","Student Sponsor","Student",
"New City College Corporation","London",,"Publicly funded college","Student Sponsor - Track Record","Student",
"New College Durham","Framwellgate Moor",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"New College Swindon","Swindon",,"Publicly funded college","Student Sponsor","Student",
"New College Worcester","Worcester",,"Private provider","Student Sponsor","Child Student",
"New College Worcester","Worcester",,"Private provider","Student Sponsor","Student",
"New Hall School Trust","Chelmsford",,"Independent school","Student Sponsor","Child Student",
"New Hall School Trust","Chelmsford",,"Independent school","Student Sponsor","Student",
"New Model Institute for Technology and Engineering","Hereford",,"Higher Education Institution (HEI)","Probationary Sponsor","Student",
"NEWBOLD COLLEGE","BRACKNELL",,"Private provider","Student Sponsor - Track Record","Student",
"Newcastle High School for Girls","Newcastle upon Tyne",,"Independent school","Student Sponsor","Child Student",
"Newcastle High School for Girls","Newcastle upon Tyne",,"Independent school","Student Sponsor","Student",
"Newcastle School for Boys","Newcastle upon Tyne",,"Independent school","Student Sponsor","Child Student",
"Newcastle University","Newcastle upon Tyne","INTO Newcastle University (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Newcastle-under-Lyme School","Newcastle-under-Lyme",,"Independent school","Student Sponsor","Student",
"Newman Schools Ltd","Leamington Spa",,"Independent school","Student Sponsor","Child Student",
"Newton Prep","London",,"Independent school","Student Sponsor","Child Student",
"Newton Prep","London",,"Independent school","Student Sponsor","Student",
"Nexus Institute of Creative Arts","Earlsdon",,"Private provider","Student Sponsor","Student",
"Norland College Limited","Bath",,"Higher Education Institution (HEI)","Student Sponsor","Student",
"North East Scotland College","Aberdeen",,"Publicly funded college","Student Sponsor - Track Record","Student",
"North Hertfordshire College","Stevenage",,"Publicly funded college","Probationary Sponsor","Student",
"North London Collegiate School","Edgware",,"Independent school","Student Sponsor","Child Student",
"North London Grammar School","London",,"Independent school","Student Sponsor","Child Student",
"North London Grammar School","London",,"Independent school","Student Sponsor","Student",
"NORTH WEST REGIONAL COLLEGE","LONDONDERRY",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Northampton High School","Northampton",,"Independent school","Student Sponsor","Child Student",
"Northampton High School","Northampton",,"Independent school","Student Sponsor","Student",
"Northamptonshire Independent Grammar School Charity Trust Limited","Northampton",,"Independent school","Student Sponsor","Child Student",
"Northamptonshire Independent Grammar School Charity Trust Limited","Northampton",,"Independent school","Student Sponsor","Student",
"Northbourne Park School","Near Deal",,"Independent school","Student Sponsor","Child Student",
"Northeastern University - London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Northern School of Contemporary Dance","Leeds",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Northwood College for Girls","Northwood",,"Independent school","Student Sponsor","Child Student",
"Norwich High School for Girls","Norwich",,"Independent school","Student Sponsor","Child Student",
"Norwich High School for Girls","Norwich",,"Independent school","Student Sponsor","Student",
"Norwich School","Norwich",,"Independent school","Student Sponsor","Child Student",
"Norwich School","Norwich",,"Independent school","Student Sponsor","Student",
"Norwich University of the Arts","Norwich",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Notre Dame Catholic Sixth Form College","Leeds",,"Publicly funded college","Student Sponsor","Student",
"Nottingham Girls' High School","Nottingham",,"Independent school","Student Sponsor","Child Student",
"Nottingham Trent International College","Nottingham",,"Embedded college offering pathway courses","Student Sponsor - Track Record","Student",
"Nottingham Trent University","Nottingham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"NYU in London","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"OAKHAM SCHOOL","OAKHAM",,"Independent school","Student Sponsor","Child Student",
"OAKHAM SCHOOL","OAKHAM",,"Independent school","Student Sponsor","Student",
"Old Buckenham Hall (Brettenham) Educational Trust Ltd","Ipswich",,"Independent school","Student Sponsor","Child Student",
"Old Palace of John Whitgift School","Croydon",,"Independent school","Student Sponsor","Child Student",
"Old Palace of John Whitgift School","Croydon",,"Independent school","Student Sponsor","Student",
"Oldham Hulme Grammar School","Oldham",,"Independent school","Student Sponsor","Child Student",
"Oldham Hulme Grammar School","Oldham",,"Independent school","Student Sponsor","Student",
"Oratory Preparatory School Limited","Reading",,"Independent school","Student Sponsor","Child Student",
"Orwell Park School","Ipswich",,"Independent school","Student Sponsor","Child Student",
"Orwell Park School","Ipswich",,"Independent school","Student Sponsor","Student",
"Oswestry School","Oswestry",,"Independent school","Student Sponsor","Child Student",
"Oswestry School","Oswestry",,"Independent school","Student Sponsor","Student",
"Oundle School","Peterborough",,"Independent school","Student Sponsor","Child Student",
"Oundle School","Peterborough",,"Independent school","Student Sponsor","Student",
"Our Lady's Abingdon Trustees Limited","Abingdon",,"Independent school","Student Sponsor","Child Student",
"Oxford Brookes University","Oxford",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Oxford International College Brighton","Brighton",,"Independent school","Probationary Sponsor","Child Student",
"Oxford International College Brighton","Brighton",,"Independent school","Probationary Sponsor","Student",
"Oxford International Education and Travel Ltd","Various","Brighton / Greenwich / London Central / Oxford","Private provider","Student Sponsor","Student",
"Oxford International School","Oxford","Oxford International College","Independent school","Student Sponsor","Child Student",
"Oxford International School","Oxford","Oxford International College","Independent school","Student Sponsor","Student",
"Oxford International Study Centre","Oxford",,"Private provider","Student Sponsor","Student",
"Packwood Haugh School","Shrewsbury",,"Independent school","Student Sponsor","Child Student",
"Padworth College Ltd","Reading",,"Independent school","Student Sponsor","Child Student",
"Padworth College Ltd","Reading",,"Independent school","Student Sponsor","Student",
"Pangbourne College","Reading",,"Independent school","Student Sponsor","Child Student",
"Pangbourne College","Reading",,"Independent school","Student Sponsor","Student",
"PAPPLEWICK EDUCATIONAL TRUST LIMITED","ASCOT",,"Independent school","Student Sponsor","Child Student",
"Paris Dauphine International","London",,"Private provider","Student Sponsor","Student",
"Parkside School","Cobham",,"Independent school","Student Sponsor","Child Student",
"Pembrokeshire College","Haverfordwest",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Pepperdine University UK Ltd","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Perrott Hill School","Crewkerne",,"Independent school","Student Sponsor","Child Student",
"Perth College","Perth",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Petroc","Barnstaple",,"Publicly funded college","Student Sponsor","Student",
"PHBS-UK","Oxford",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Plumpton College","Lewes",,"Publicly funded college","Student Sponsor","Student",
"Plymouth College & St Dunstan's Abbey Schools Charity","Plymouth",,"Independent school","Student Sponsor","Child Student",
"Plymouth College & St Dunstan's Abbey Schools Charity","Plymouth",,"Independent school","Student Sponsor","Student",
"Pocklington School","Pocklington",,"Independent school","Student Sponsor","Child Student",
"Point Blank Music College","London",,"Private provider","Student Sponsor - Track Record","Student",
"Port Regis","Shaftesbury",,"Independent school","Student Sponsor","Child Student",
"Portland Place School","London",,"Independent school","Student Sponsor","Child Student",
"Portland Place School","London",,"Independent school","Student Sponsor","Student",
"Portsmouth High School","Southsea",,"Independent school","Student Sponsor","Child Student",
"Portsmouth High School","Southsea",,"Independent school","Student Sponsor","Student",
"Prep Schools Trust","Abingdon",,"Independent school","Student Sponsor","Child Student",
"Prestfelde school","Shrewsbury",,"Independent school","Probationary Sponsor","Child Student",
"Prior Park Educational Trust","Bath",,"Independent school","Student Sponsor","Child Student",
"Prior Park Educational Trust","Bath",,"Independent school","Student Sponsor","Student",
"Prior's Field School","Godalming",,"Independent school","Student Sponsor","Child Student",
"Prior's Field School","Godalming",,"Independent school","Student Sponsor","Student",
"Priory School","Birmingham",,"Independent school","Probationary Sponsor","Child Student",
"Priory School","Birmingham",,"Independent school","Probationary Sponsor","Student",
"Putney High School","London",,"Independent school","Student Sponsor","Child Student",
"Queen Anne's School","Reading",,"Independent school","Student Sponsor","Child Student",
"Queen Anne's School","Reading",,"Independent school","Student Sponsor","Student",
"QUEEN ELIZABETH'S HOSPITAL","BRISTOL",,"Independent school","Student Sponsor","Child Student",
"Queen Ethelburga's Collegiate","York",,"Independent school","Student Sponsor","Child Student",
"Queen Ethelburga's Collegiate","York",,"Independent school","Student Sponsor","Student",
"Queen Margaret University","Edinburgh",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Queen Margaret's School","YORK",,"Independent school","Student Sponsor","Child Student",
"Queen Margaret's School","YORK",,"Independent school","Student Sponsor","Student",
"Queen Mary University of London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Queen Mary's School (Baldersby) Limited","Thirsk",,"Independent school","Student Sponsor","Child Student",
"Queen's College, London","London",,"Independent school","Student Sponsor","Child Student",
"Queen's College, Taunton","Taunton",,"Independent school","Student Sponsor","Child Student",
"Queen's College, Taunton","Taunton",,"Independent school","Student Sponsor","Student",
"Queen's Gate School Trust Limited","London",,"Independent school","Student Sponsor","Child Student",
"Queen's Gate School Trust Limited","London",,"Independent school","Student Sponsor","Student",
"Queen's University Belfast","Belfast",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Queenswood School Limited","Hatfield",,"Independent school","Student Sponsor","Child Student",
"Queenswood School Limited","Hatfield",,"Independent school","Student Sponsor","Student",
"Quo Vadis Education Boundary Oak School","Fareham",,"Independent school","Student Sponsor","Child Student",
"Radley College","Abingdon",,"Independent school","Student Sponsor","Child Student",
"Radley College","Abingdon",,"Independent school","Student Sponsor","Student",
"Radnor House Sevenoaks","Sundridge, Sevenoaks",,"Independent school","Student Sponsor","Child Student",
"Radnor House Sevenoaks","Sundridge, Sevenoaks",,"Independent school","Student Sponsor","Student",
"Raindance Film School","London",,"Higher Education Institution (HEI)","Student Sponsor","Student",
"Rambert School of Ballet and Contemporary Dance","Twickenham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Ratcliffe College","Leicester",,"Independent school","Student Sponsor","Child Student",
"Ratcliffe College","Leicester",,"Independent school","Student Sponsor","Student",
"Ravensbourne University London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Reaseheath College","Nantwich",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Red House School","Stockton on Tees",,"Independent school","Student Sponsor","Child Student",
"Reddam House Bearwood","WOKINGHAM",,"Independent school","Student Sponsor","Child Student",
"Reddam House Bearwood","WOKINGHAM",,"Independent school","Student Sponsor","Student",
"Reed's School","Cobham",,"Independent school","Student Sponsor","Child Student",
"Reed's School","Cobham",,"Independent school","Student Sponsor","Student",
"Regent College","Harrow","Madison House","Private provider","Student Sponsor - Track Record","Student",
"Regent Group","Various","RTC Education Ltd t/a Regent Independent College / RTC Education 2 Ltd t/a Acorn House College","Independent school","Student Sponsor","Child Student",
"Regent Group","Various","RTC Education Ltd t/a Regent Independent College / RTC Education 2 Ltd t/a Acorn House College","Independent school","Student Sponsor","Student",
"Regent's University London Limited","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Reigate Grammar School","Reigate",,"Independent school","Student Sponsor","Child Student",
"Reigate Grammar School","Reigate",,"Independent school","Student Sponsor","Student",
"Rendcomb College","Nr Cirencester",,"Independent school","Student Sponsor","Child Student",
"Rendcomb College","Nr Cirencester",,"Independent school","Student Sponsor","Student",
"Repton Prep","Derby",,"Independent school","Student Sponsor","Child Student",
"Repton School","Derby",,"Independent school","Student Sponsor","Child Student",
"Repton School","Derby",,"Independent school","Student Sponsor","Student",
"Richmond and Hillcroft Adult and Community College","Richmond Upon Thames",,"Publicly funded college","Student Sponsor","Student",
"Richmond The American International University in London","566 Chiswick High Road",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"RIKKYO SCHOOL IN ENGLAND","HORSHAM",,"Independent school","Student Sponsor","Child Student",
"RIKKYO SCHOOL IN ENGLAND","HORSHAM",,"Independent school","Student Sponsor","Student",
"Rishworth School","Halifax",,"Independent school","Student Sponsor","Child Student",
"Rishworth School","Halifax",,"Independent school","Student Sponsor","Student",
"River House Montessori School","London",,"Independent school","Student Sponsor","Child Student",
"Riverston School","Lee",,"Independent school","Student Sponsor","Child Student",
"Rochester Independent College","Kent",,"Independent school","Student Sponsor","Child Student",
"Rochester Independent College","Kent",,"Independent school","Student Sponsor","Student",
"ROCKPORT SCHOOL","Belfast",,"Independent school","Student Sponsor","Child Student",
"ROCKPORT SCHOOL","Belfast",,"Independent school","Student Sponsor","Student",
"Roedean School","Brighton",,"Independent school","Student Sponsor","Child Student",
"Roedean School","Brighton",,"Independent school","Student Sponsor","Student",
"Roehampton University","London","Roehampton Pathway Campus","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Rose Bruford College","Sidcup",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Rossall School","Fleetwood",,"Independent school","Student Sponsor","Child Student",
"Rossall School","Fleetwood",,"Independent school","Student Sponsor","Student",
"Royal Academy of Dance","London",,"Private provider","Student Sponsor - Track Record","Student",
"Royal Academy of Dramatic Art","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Royal Academy of Music","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Royal Agricultural University","Cirencester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Royal College of Art","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Royal College of Music","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Royal Conservatoire of Scotland","Glasgow",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Royal Grammar School Guildford","Guildford",,"Independent school","Student Sponsor","Child Student",
"Royal Grammar School Guildford","Guildford",,"Independent school","Student Sponsor","Student",
"Royal Grammar School","Newcastle upon Tyne",,"Independent school","Student Sponsor","Child Student",
"Royal Holloway and Bedford New College","Egham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Royal Hospital School","Ipswich",,"Independent school","Student Sponsor","Child Student",
"Royal Hospital School","Ipswich",,"Independent school","Student Sponsor","Student",
"Royal Northern College of Music","Manchester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Royal Russell School","Croydon",,"Independent school","Student Sponsor","Child Student",
"Royal Russell School","Croydon",,"Independent school","Student Sponsor","Student",
"Royal School of Needlework","East Molesey",,"Private provider","Student Sponsor - Track Record","Student",
"Royal Veterinary College, University of London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Rugby School","Rugby",,"Independent school","Student Sponsor","Child Student",
"Rugby School","Rugby",,"Independent school","Student Sponsor","Student",
"Ruskin Mill Trust","Nailsworth",,"Independent school","Student Sponsor","Child Student",
"Ruskin Mill Trust","Nailsworth",,"Independent school","Student Sponsor","Student",
"Ruthin Education Limited","Ruthin",,"Independent school","Probationary Sponsor","Child Student",
"Ruthin Education Limited","Ruthin",,"Independent school","Probationary Sponsor","Student",
"Ryde School with Upper Chine","Ryde",,"Independent school","Student Sponsor","Child Student",
"Ryde School with Upper Chine","Ryde",,"Independent school","Student Sponsor","Student",
"Rye St Antony School","Oxford",,"Independent school","Student Sponsor","Child Student",
"Rye St Antony School","Oxford",,"Independent school","Student Sponsor","Student",
"S P Jain London School of Management Limited","London",,"Higher Education Institution (HEI)","Probationary Sponsor","Student",
"S.Anselms","Bakewell",,"Independent school","Student Sponsor","Child Student",
"SAE Education Ltd","London",,"Private provider","Student Sponsor - Track Record","Student",
"Salisbury Cathedral School","Salisbury",,"Independent school","Student Sponsor","Child Student",
"Salisbury Cathedral School","Salisbury",,"Independent school","Student Sponsor","Student",
"Samford University London Study Centre","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Sandroyd School","Salisbury",,"Independent school","Student Sponsor","Child Student",
"Scarborough College","Scarborough",,"Independent school","Student Sponsor","Child Student",
"Scarborough College","Scarborough",,"Independent school","Student Sponsor","Student",
"Scarisbrick Hall School","Ormskirk",,"Independent school","Student Sponsor","Child Student",
"Scarisbrick Hall School","Ormskirk",,"Independent school","Student Sponsor","Student",
"Sedbergh School","Sedbergh",,"Independent school","Student Sponsor","Child Student",
"Sedbergh School","Sedbergh",,"Independent school","Student Sponsor","Student",
"Sevenoaks School","Sevenoaks",,"Independent school","Student Sponsor","Child Student",
"Sevenoaks School","Sevenoaks",,"Independent school","Student Sponsor","Student",
"Shebbear College","Beaworthy",,"Independent school","Student Sponsor","Child Student",
"Shebbear College","Beaworthy",,"Independent school","Student Sponsor","Student",
"Sheffield Hallam University","Sheffield",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Sheffield High School","Sheffield",,"Independent school","Student Sponsor","Child Student",
"Sheffield High School","Sheffield",,"Independent school","Student Sponsor","Student",
"Sherborne Preparatory School","Sherborne",,"Independent school","Student Sponsor","Child Student",
"Sherborne School For Girls","Sherborne",,"Independent school","Student Sponsor","Child Student",
"Sherborne School For Girls","Sherborne",,"Independent school","Student Sponsor","Student",
"Sherborne School","Sherborne",,"Independent school","Student Sponsor","Child Student",
"Sherborne School","Sherborne",,"Independent school","Student Sponsor","Student",
"Shiplake Court Limited T/A Shiplake College","Henley on Thames",,"Independent school","Student Sponsor","Child Student",
"Shiplake Court Limited T/A Shiplake College","Henley on Thames",,"Independent school","Student Sponsor","Student",
"Shrewsbury Colleges Group","Shrewsbury",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Shrewsbury High School","Shrewsbury",,"Independent school","Student Sponsor","Child Student",
"Shrewsbury School","Shrewsbury",,"Independent school","Student Sponsor","Child Student",
"Shrewsbury School","Shrewsbury",,"Independent school","Student Sponsor","Student",
"SIBFORD SCHOOL","Banbury",,"Independent school","Student Sponsor","Child Student",
"Sidcot School","Winscombe",,"Independent school","Student Sponsor","Child Student",
"Sidcot School","Winscombe",,"Independent school","Student Sponsor","Student",
"Slemish College","Ballymena",,"Publicly funded college","Probationary Sponsor","Student",
"Slindon College","Arundel",,"Independent school","Student Sponsor","Child Student",
"SOAS, University of London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Society of Saint Pius X","Burghclere",,"Independent school","Probationary Sponsor","Child Student",
"Solent University","Southampton",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Sotheby's Institute of Art - London","London",,"Private provider","Student Sponsor - Track Record","Student",
"South & City College Birmingham","Digbeth",,"Publicly funded college","Student Sponsor - Track Record","Student",
"South Devon College","Paignton",,"Publicly funded college","Student Sponsor","Student",
"South Eastern Regional College","Bahgor",,"Publicly funded college","Student Sponsor - Track Record","Student",
"South Essex College of Further & Higher Education","Southend On Sea",,"Publicly funded college","Student Sponsor - Track Record","Student",
"South Gloucestershire and Stroud College","Bristol",,"Publicly funded college","Student Sponsor - Track Record","Student",
"South Hampstead High School","London",,"Independent school","Student Sponsor","Child Student",
"South Hampstead High School","London",,"Independent school","Student Sponsor","Student",
"South Lee Prep School & Nursery","Bury St Edmunds",,"Independent school","Probationary Sponsor","Child Student",
"SOUTH WEST COLLEGE","ENNISKILLEN",,"Publicly funded college","Probationary Sponsor","Student",
"Sparsholt College Hampshire","Winchester",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Spratton Hall School","Spratton",,"Independent school","Student Sponsor","Child Student",
"Spurgeon's College","London",,"Private provider","Student Sponsor","Student",
"SRUC","Scotland",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"ST ALBANS HIGH SCHOOL FOR GIRLS","ST ALBANS",,"Independent school","Student Sponsor","Child Student",
"St Bede's College","Manchester",,"Independent school","Student Sponsor","Child Student",
"St Bede's College","Manchester",,"Independent school","Student Sponsor","Student",
"St Bede's School Trust Sussex","Hailsham",,"Independent school","Student Sponsor","Child Student",
"St Bede's School Trust Sussex","Hailsham",,"Independent school","Student Sponsor","Student",
"St Bees School Management Company Ltd trading as St Bees School","St Bees",,"Independent school","Student Sponsor","Child Student",
"St Benedict's School Ealing","Ealing",,"Independent school","Student Sponsor","Child Student",
"St Benedict's School Ealing","Ealing",,"Independent school","Student Sponsor","Student",
"St Catherine's School","Guildford",,"Independent school","Student Sponsor","Child Student",
"St Christopher School (Letchworth) Limited","Letchworth Garden City",,"Independent school","Student Sponsor","Child Student",
"St Christopher School (Letchworth) Limited","Letchworth Garden City",,"Independent school","Student Sponsor","Student",
"St David's Catholic College","Cardiff",,"Publicly funded college","Student Sponsor","Student",
"St Davids College Trust","Llandudno",,"Independent school","Student Sponsor","Child Student",
"St Davids College Trust","Llandudno",,"Independent school","Student Sponsor","Student",
"St Dunstan's Educational Foundation","LONDON",,"Independent school","Student Sponsor","Child Student",
"St Dunstan's Educational Foundation","LONDON",,"Independent school","Student Sponsor","Student",
"St Edmund's College","Ware",,"Independent school","Student Sponsor","Child Student",
"St Edmund's School Canterbury","Canterbury",,"Independent school","Student Sponsor","Child Student",
"St Edmund's School Canterbury","Canterbury",,"Independent school","Student Sponsor","Student",
"St Edward's School","Oxford",,"Independent school","Student Sponsor","Child Student",
"St Edward's School","Reading",,"Independent school","Student Sponsor","Child Student",
"St Edward's School","Cheltenham",,"Independent school","Student Sponsor","Child Student",
"St Edward's School","Cheltenham",,"Independent school","Student Sponsor","Student",
"St George's School Ascot Trust Limited","Ascot",,"Independent school","Student Sponsor","Child Student",
"St George's School Ascot Trust Limited","Ascot",,"Independent school","Student Sponsor","Student",
"St George's School for Girls","Edinburgh",,"Independent school","Student Sponsor - Track Record","Child Student",
"St George's School for Girls","Edinburgh",,"Independent school","Student Sponsor - Track Record","Student",
"St Georges Weybridge","Addlestone",,"Independent school","Student Sponsor","Child Student",
"St Georges Weybridge","Addlestone",,"Independent school","Student Sponsor","Student",
"St George's, University of London","Tooting",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"St Helen's School","London",,"Independent school","Student Sponsor","Child Student",
"St Hilary's School Trust Ltd","Godalming",,"Independent school","Student Sponsor","Child Student",
"St Hugh's School (Carswell) Trust Ltd","Faringdon",,"Independent school","Student Sponsor","Child Student",
"St John's Beaumont School","Old Windsor",,"Independent school","Student Sponsor","Child Student",
"St John's College School","Cambridge",,"Independent school","Student Sponsor","Child Student",
"St John's College","CARDIFF",,"Independent school","Student Sponsor","Child Student",
"St John's College","CARDIFF",,"Independent school","Student Sponsor","Student",
"St John's International School","Sidmouth",,"Independent school","Student Sponsor","Child Student",
"St Joseph's College Reading","Reading",,"Independent school","Student Sponsor","Child Student",
"St Joseph's College Reading","Reading",,"Independent school","Student Sponsor","Student",
"St Joseph's College","Ipswich",,"Independent school","Student Sponsor","Child Student",
"St Joseph's College","Ipswich",,"Independent school","Student Sponsor","Student",
"St Lawrence College","Ramsgate",,"Independent school","Student Sponsor","Child Student",
"St Lawrence College","Ramsgate",,"Independent school","Student Sponsor","Student",
"St Leonards","St Andrews",,"Independent school","Student Sponsor - Track Record","Child Student",
"St Leonards","St Andrews",,"Independent school","Student Sponsor - Track Record","Student",
"St Margaret's School for Girls","Aberdeen",,"Independent school","Student Sponsor","Child Student",
"St Margaret's School for Girls","Aberdeen",,"Independent school","Student Sponsor","Student",
"St Margaret's School, Bushey","Bushey",,"Independent school","Student Sponsor","Child Student",
"St Margaret's School, Bushey","Bushey",,"Independent school","Student Sponsor","Student",
"St Margaret's School","London",,"Independent school","Student Sponsor","Child Student",
"St Mary's College Crosby Trust Limited","Liverpool",,"Independent school","Student Sponsor","Child Student",
"St Mary's College Crosby Trust Limited","Liverpool",,"Independent school","Student Sponsor","Student",
"St Mary's Music School","Edinburgh",,"Independent school","Probationary Sponsor","Child Student",
"St Mary's Music School","Edinburgh",,"Independent school","Probationary Sponsor","Student",
"St Mary's School Ascot","Ascot",,"Independent school","Student Sponsor","Child Student",
"St Mary's School Cambridge","Cambridge",,"Independent school","Student Sponsor","Child Student",
"St Mary's School Cambridge","Cambridge",,"Independent school","Student Sponsor","Student",
"St Mary's School","Calne",,"Independent school","Student Sponsor","Child Student",
"St Mary's School","Calne",,"Independent school","Student Sponsor","Student",
"St Mary's University College","Belfast",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"St Mary's University","Twickenham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"St Michael's School Limited","Llanelli",,"Independent school","Student Sponsor","Child Student",
"St Michael's School Limited","Llanelli",,"Independent school","Student Sponsor","Student",
"St Nicholas' School","Fleet",,"Independent school","Student Sponsor","Child Student",
"St Paul's Girls' School","London",,"Independent school","Probationary Sponsor","Child Student",
"St Paul's Girls' School","London",,"Independent school","Probationary Sponsor","Student",
"St Paul's School","London",,"Independent school","Student Sponsor","Child Student",
"St Paul's School","London",,"Independent school","Student Sponsor","Student",
